Iss,LL,PL,PI,LS
4.2,74.8,29,45.8,18
5,78.8,35,43.8,19.2
3,35.4,15.6,19.8,12.8
1,35.4,15.6,19.8,12.8
0.2,43,13.6,29.4,14.2
0.3,34.4,13.2,21.2,9.8
3,44,12.9,31.1,12.6
1.7,45.6,19,26.6,15.8
0.8,45,27,18,10
0.4,28.2,14,14.2,8.6
0.9,31.8,18,13.8,8.2
0.1,32.4,5.6,26.8,8.6
0.6,32.4,17,15.4,9
0.7,32.4,16.8,15.6,8.6
4.5,71.4,22.2,49.2,20.4
2.9,46.4,19.8,26.6,15
3.7,35.8,16.6,19.2,10.6
2.7,52,19.2,32.8,14.8
1.6,42,19,23,13.2
1.9,48.6,20,28.6,15.4
6.1,79.6,34.8,44.8,20
5.8,81,31.6,49.4,18.8
1,53.8,29.8,24,13.2
1,58.8,30.8,28,13.4
3.7,81.6,38.6,43,16.2
4.5,77.4,29.4,48,19
4.7,74.6,33.4,41.2,19
0.1,36.6,18.2,18.4,10.4
3.8,61.8,28.8,33,13.2
1.9,49,29.8,19.2,9.6
1.7,59,28.4,30.6,15
1.4,50.8,27,23.8,14.2
5.6,107,43,64,25.2
1,43.2,18,25.2,12.2
2.2,70.2,23.8,46.4,15.8
1.4,48,17,31,13.2
3.9,48,19.2,28.8,16.8
2.6,61.6,24,37.6,19.4
5.8,80.2,35.2,45,20.2
4.7,71.8,35.8,36,16.2
3.9,48,20,28,16.8
2.6,61.6,24,37.6,19.4
5.1,76,30,46,16
2.1,44,20,24,11.5
1.4,63.4,32,31.4,16.2
2,64.6,30,34.6,16.4
2.7,49.6,26,23.6,6.6
1.7,59,28.4,30.6,15
1.4,50.8,27,23.8,14.2
3.7,71,35,36,21
5.1,88,36,52,21.5
7.4,100,30,70,27
4.5,83,25,58,23.5
3.5,67,28,39,19
2.6,84,32,52,21.5
4.9,95,25,70,23
4.8,80,24,56,22
1,60.8,28.4,32.4,16.4
1.4,60.8,28.4,32.4,16.4
1.7,72.2,29.4,42.8,17.2
2.4,72.2,29.4,42.8,17.2
4.8,58,21.2,36.8,15
6,105,36,69,20
5.5,77,24,53,18.5
9,105,36,69,20
2.7,90,33,57,23
4.9,95,25,70,23
4.8,80,24,56,22
1.47,39.94,19.43,20.51,11.2
6.16,65.26,28.51,36.75,20.2
2.7,48.2,24,24.2,14
2.83,72.7,25.1,47.6,19.9
5.73,100,37.02,62.98,25.33
3.46,38.92,19.27,19.65,12
2.87,40.65,20.7,19.95,18
2.88,36.09,15.46,20.63,11.2
2.56,51.52,30.18,21.34,13.2
2.57,42.43,20.02,22.41,15.2
1.69,41.75,17.21,24.54,15
2.32,46.68,19.48,27.2,15.4
3.04,50.77,22.6,28.17,20.4
2.95,47.71,15.01,32.7,12.8
4.3,73.3,25.8,47.5,18.8
4.53,80.75,18.02,62.73,22.1
5.96,68.87,31.95,36.92,19.2
6.32,84.39,26.62,57.77,24.2
5.05,47.08,15.81,31.27,13.6
1.59,66.29,18.66,47.63,18.3
6.96,75.79,24.51,51.28,20.9
6.88,70.28,21.74,48.54,18.4
6.16,69.74,19.72,50.02,19.5
6.77,80.52,22.37,58.15,23.2
1.08,56.34,31.91,24.43,9.8
3.28,49.99,29.74,20.25,12.5
1.87,63.91,21.28,42.63,11.1
4.21,56.92,17.42,39.5,16
2.42,64.17,20.57,43.6,16.1
1.91,36.01,12.82,23.19,17.9
1.57,57.6,24.91,32.69,10.4
4.02,61.1,25.7,35.4,15.2
1.75,54.79,19.27,35.52,12
2.51,65.93,25.74,40.19,14.59
2.55,54.96,27.16,27.8,12.7
2.11,43.34,14.89,28.45,8.3
3.06,69.8,23.5,46.3,15.5
3.23,41.53,16.86,24.67,13.2
3.76,48.88,18.65,30.23,14.6
3.55,58.61,22.18,36.43,17.1
7.15,122,42,80,19.6
2.22,37.73,17.24,20.49,13.4
4.4,49,26.18,22.82,20
7.02,74.69,34.87,39.82,24
0.1,17,16,1,0.5
0.6,21,16,5,2.5
0.7,25,14,11,5
1.8,26,11,15,9
1.2,28,13,15,9
0.4,29,17,12,6
1.7,35,13,22,10.5
0.5,36,14,22,11.5
1.1,36,13,23,11
2.3,36,13,23,11
3,36,13,23,13
0.8,37,14,23,10.5
0.5,38,15,23,13
1.4,42,14,28,15
1.6,43,15,28,14.5
0.6,45,15,30,14
1.6,45,15,30,13.5
0.8,46,16,30,13
2.1,46,15,31,14
2.3,47,16,31,15.5
1.1,52,16,36,16
3.5,53,17,36,13.5
1,54,16,38,16.5
2.3,54,16,38,17.5
1.6,57,18,39,17
3,59,16,43,17.5
2.5,60,18,42,18
4,62,20,42,15
3.6,65,21,44,20
3.9,66,25,41,18.5
4.2,66,25,41,18.5
1.4,88,38,50,21.5
1.6,53,22,31,12
1.2,50,22,28,11
1.9,53,23,30,13
5.2,107,17,90,14.5
6.1,107,32,75,22
0.9,31,14,17,7
2,53,20,33,12
0.8,33,15,18,7
0.1,35,16,19,6.5
8.9,73,25,48,18
8.87,90.22,52.96,37.57,19.95
5.51,76.4,22.6,53.8,18.9
4.19,76.4,22.6,53.8,18.9
5.56,76.4,22.6,53.8,18.9
6.46,76.4,22.6,53.8,18.9
6.12,76.4,22.6,53.8,18.9
5.65,71.1,21.9,49.2,18.2
5.3,71.1,21.9,49.2,18.2
5.82,71.1,21.9,49.2,18.2
6.72,71.1,21.9,49.2,18.2
6.12,71.1,21.9,49.2,18.2
5.33,76.6,23,53.6,17.1
5.6,76.6,23,53.6,17.1
5.88,76.6,23,53.6,17.1
5.17,76.6,23,53.6,17.1
